timestamp,Residual_bike,Residual_auto,Residual_car
2023-05-26 05:00:00,0.6014384514072901,-0.8402538138147406,-0.48196726756867747
2023-05-26 06:00:00,1.4973164902894638,2.792482354199379,0.3291736310121962
2023-05-26 07:00:00,-0.35062151670244646,0.9681752546170159,0.3066593892693845
2023-05-26 08:00:00,0.6809878223563288,-0.23376209175332008,1.6571375859046782
2023-05-26 09:00:00,2.3512232727260596,3.088731815128419,0.9103867308668896
2023-05-26 10:00:00,0.9501663133478786,3.1767226848683023,0.19573225568504427
2023-05-26 11:00:00,0.6365485822899757,1.668240534180505,-0.016232286130190232
2023-05-26 12:00:00,0.28550460667337063,-0.9789959045892402,0.43133403850563923
2023-05-26 13:00:00,1.4366090658240864,-1.5133670000000023,-0.5076514233426792
2023-05-26 14:00:00,1.9472022352413774,3.4901453652092087,-1.284293414551513
2023-05-26 15:00:00,2.026161512856774,1.6115841593351448,-3.6239859590836545
2023-05-26 16:00:00,0.9005999718602311,3.5325916084499553,-2.7985790847625083
2023-05-26 17:00:00,1.221599895002143,2.9274410792777417,-4.752949342753425
2023-05-26 18:00:00,3.1581648548865076,4.842095026813297,-3.7424145397391726
2023-05-26 19:00:00,2.7458787227818533,4.315256152382716,-5.007479149935591
2023-05-26 20:00:00,0.7031340281401981,2.908580043955041,-5.297285245343261
2023-05-26 21:00:00,-0.3330301804368503,-0.19415999999999656,-5.895380383479193
2023-05-26 22:00:00,1.904601871502436,-1.9848980000000012,-4.241794331160094
2023-05-26 23:00:00,3.686182803810098,-1.1104631064891208,-2.5489444609603993
2023-05-27 00:00:00,1.1940165747398055,-0.617325000000001,-1.908455654129483
2023-05-27 01:00:00,2.1210272949206654,-0.9724959999999996,-0.4177433639546564
2023-05-27 02:00:00,1.7341708013631916,-0.6779980000000023,0.8430473590168219
2023-05-27 03:00:00,2.34643695549822,-0.7334356353654741,2.243268916660128
2023-05-27 04:00:00,1.7212545815363427,-0.3028100000000009,2.8260214704227167
2023-05-27 05:00:00,3.2379645321293395,1.2052388051994498,3.7663706706426012
2023-05-27 06:00:00,2.593717289874391,2.8381353452468048,3.774514433362441
2023-05-27 07:00:00,1.6658010012773872,-1.6814455538493362,4.464623690859668
2023-05-27 08:00:00,3.3541630837435434,0.5822159580235748,4.110901483696438
2023-05-27 09:00:00,1.6547666214541294,-1.186314000000003,3.567402483657162
2023-05-27 10:00:00,3.4295150737092825,2.2387877001617014,3.0309841636102988
2023-05-27 11:00:00,3.357828539976552,2.885249661870276,1.9658274024459956
2023-05-27 12:00:00,3.7886133233843253,5.253766540794672,0.6417485652975756
2023-05-27 13:00:00,2.843119024655664,3.806083710367652,-0.5546000236626298
2023-05-27 14:00:00,2.712215020715675,3.30343505080436,-0.5053025388376113
2023-05-27 15:00:00,2.8785577970475345,-0.04782537963755118,-2.660488220650251
2023-05-27 16:00:00,2.6048428089025464,1.3983359361588015,-3.6990948028534945
2023-05-27 17:00:00,2.7108214947339206,0.3708066696269512,-5.494845669393214
2023-05-27 18:00:00,2.6613508052761716,-1.3312839999999966,-5.734624670571321
2023-05-27 19:00:00,2.7510100548684164,-1.2670749999999984,-4.3786556407851265
2023-05-27 20:00:00,1.9178569847438922,-1.3312099999999987,-4.897723028643725
2023-05-27 21:00:00,4.992812197458576,-1.304949999999998,-4.469227803726682
2023-05-27 22:00:00,2.904095928987161,-1.2561529999999976,-3.6105025695467816
2023-05-27 23:00:00,2.788342955445856,-1.655140000000003,-0.623229558274744
2023-05-28 00:00:00,2.2340968939174246,-0.881059999999998,0.5247930727233836
2023-05-28 01:00:00,1.8302819654018094,-1.0423199999999966,0.7024989165256841
2023-05-28 02:00:00,4.267986868778451,-0.47766401247594104,2.6825211523170083
2023-05-28 03:00:00,2.4905648454933385,-0.6054322650064066,3.0631247680096294
2023-05-28 04:00:00,3.5025311438305664,1.2560571749523817,3.5170371157896625
2023-05-28 05:00:00,3.1641912677070962,2.214908342328215,4.178618919269525
2023-05-28 06:00:00,1.2308815664411412,-1.6029699999999991,4.492513664420898
2023-05-28 07:00:00,4.326611416661834,-1.3087230000000005,4.319435600825756
2023-05-28 08:00:00,3.56997424003724,0.20452196194185035,4.116017702162651
2023-05-28 09:00:00,2.550163510308323,-0.7392540000000025,3.8011518494836025
2023-05-28 10:00:00,3.0541785472877905,-1.0192836933470986,1.3642303708691657
2023-05-28 11:00:00,2.0885848412540327,0.5658169830131357,2.35879414886449
2023-05-28 12:00:00,3.9852498809975287,0.0015656651218804996,1.201262640592006
2023-05-28 13:00:00,2.3823539032439527,-0.7160157734005921,-1.0191768431411106
2023-05-28 14:00:00,2.556653267911443,-1.2423629999999974,-2.079521656805042
2023-05-28 15:00:00,2.3938567260176313,-2.1189699999999974,-3.577981442934856
2023-05-28 16:00:00,2.8144420187911123,-2.4491200000000006,-5.575644234668175
2023-05-28 17:00:00,3.5808439745181744,-0.5002615260709788,-5.840405010866334
2023-05-28 18:00:00,3.834406858123458,3.4527537577359553,-6.847135402098502
2023-05-28 19:00:00,2.0255730008112067,3.3278247755441157,-5.568533794125557
2023-05-28 20:00:00,2.6852285822326394,2.7759142629033917,-5.844726821930408
2023-05-28 21:00:00,2.476596145260828,1.887144014520402,-4.944085047697769
2023-05-28 22:00:00,1.5831997617397917,-1.1489634585726591,-4.77603639825665
2023-05-28 23:00:00,3.420224733135001,1.4561205479440176,-3.7356200425205373
2023-05-29 00:00:00,3.2210747719332318,6.318272129628568,-3.254156408142819
2023-05-29 01:00:00,2.138286815630906,3.7215855520250756,-0.7124782096126125
